Volatility 3 Framework 2.26.2

Offset	Name
0xc90c07c39730	\Endpoint
0xc90c07c398c0	\Windows\System32\RpcRtRemote.dll
0xc90c07c39a50	\Winsock2\CatalogChangeListener-368-0
0xc90c07c39be0	\Windows\System32\en-US\mswsock.dll.mui
0xc90c07c39d70	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TM.blf
0xc90c07c3a090	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms
0xc90c07c3a220	\Endpoint
0xc90c07c3a3b0	\Endpoint
0xc90c07c3a540	\Windows\System32\RpcEpMap.dll
0xc90c07c3a9f0	\Endpoint
0xc90c07c3ab80	\Windows\System32
0xc90c07c3ad10	\Device\HarddiskVolume3\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TM
0xc90c07c3aea0	\Endpoint
0xc90c07c3b350	\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{53b39e88-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms
0xc90c07c3b4e0	\CMNotify
0xc90c07c3b670	\Winsock2\CatalogChangeListener-1ec-0
0xc90c07c3b800	\Windows\System32\wer.dll
